"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Жизнь прекрасна";"Италия";"1997"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Жизнь прекрасна";"Италия";"1997"
"Достучаться до небес";"Германия";"1997"
"Побег из Шоушенка";"США";"1994"
"Зелёная миля";"США";"1999"
"Форрест Гамп";"США";"1994"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Жизнь прекрасна";"Италия";"1997"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Жизнь прекрасна";"Италия";"1997"
"Достучаться до небес";"Германия";"1997"
"Побег из Шоушенка";"США";"1994"
"Зелёная миля";"США";"1999"
"Форрест Гамп";"США";"1994"
"Список Шиндлера";"США";"1993"
"Начало";"США";"2010"
"Король Лев";"США";"1994"
"Бойцовский клуб";"США";"1999"
"Крестный отец";"США";"1972"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Жизнь прекрасна";"Италия";"1997"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Жизнь прекрасна";"Италия";"1997"
"Достучаться до небес";"Германия";"1997"
"Побег из Шоушенка";"США";"1994"
"Зелёная миля";"США";"1999"
"Форрест Гамп";"США";"1994"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Жизнь прекрасна";"Италия";"1997"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Фильм";"Страна";"Год"
"Престиж";"США";"2006"
"Жизнь прекрасна";"Италия";"1997"
"Достучаться до небес";"Германия";"1997"
"Побег из Шоушенка";"США";"1994"
"Зелёная миля";"США";"1999"
"Форрест Гамп";"США";"1994"
"Список Шиндлера";"США";"1993"
"Начало";"США";"2010"
"Король Лев";"США";"1994"
"Бойцовский клуб";"США";"1999"
"Крестный отец";"США";"1972"
"Криминальное чтиво";"США";"1994"
"Игры разума";"США";"2001"
"Гладиатор";"США";"2000"
"Интерстеллар";"США";"2014"
"Властелин колец: Возвращение Короля";"США";"2003"
